"N5581","03-06-2020 13:39:04","1800","8","512","CDXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E88683DF","C858C0B133B6"
"N5582","03-06-2020 16:35:43","1800","8","512","DDXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886BAF9","C858C0B103A0"
"N5583","04-06-2020 13:52:49","1800","8","512","FDXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886BAF5","C858C0B0F658"
"N5584","04-06-2020 17:33:04","1800","8","512","GDXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886B78D","C858C0B103CD"
"N5585","04-06-2020 13:22:04","1800","8","512","HDXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886BD2D","C858C0B0F64E"
"N5586","03-06-2020 16:46:25","1800","8","574","JDXJWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E886B78F","C858C0B0F6B2"
"N5587","03-06-2020 16:48:21","1800","16","574","5RLWWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E88A4BA2","C858C0B14FA4"
"N5588","03-06-2020 16:51:18","1896","16","574","D2RJWZ2","Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz","70B5E87E5A0D","E45E37220F83"
"N5589","03-06-2020 16:53:50","1800","16","1256","BPNWWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E88A4D94","BC542FD965B1"
"N5590","04-06-2020 12:09:12","1800","8","512","96MWWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E88A5230","C858C0A96B59"
"N5591","03-06-2020 16:47:00","1800","8","512","B5MWWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E88A4C82","C858C0A96BCC"
"N5592","03-06-2020 17:13:20","1800","8","512","D5MWWZ2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","70B5E88A4C6E","C858C0B14EEB"
"N5593","03-06-2020 17:17:08","1800","8","512","C9FLLW2","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz","2CEA7F08284A","80325394C159"
